z_um,cfw_exp_1_um,cfw_exp_2_um,cfw_exp_4_um,cfw_exp_8_um,cfw_exp_16_um
-700.0,0,0,0,28,27
-650.0,0,0,0,27,27
-600.0,0,0,10,27,25
-550.0,0,0,15,26,25
-500.0,0,0,18,26,24
-450.0,0,0,20,26,23
-400.0,0,0,21,25,22
-350.0,0,0,22,24,22
-300.0,0,0,23,24,20
-250.0,0,0,24,23,19
-200.0,0,0,22,21,18
-150.0,0,0,16,18,17
-100.0,0,0,0,10,11
-50.0,0,0,0,0,9
0.0,0,0,0,15,24
50.0,0,0,0,26,32
100.0,0,0,0,31,33
150.0,0,0,0,31,34
200.0,0,0,0,30,36
250.0,0,0,0,26,37
300.0,0,0,0,21,37
350.0,0,0,0,12,37
400.0,0,0,0,0,38
450.0,0,0,0,0,38
500.0,0,0,0,0,37
550.0,0,0,0,0,37
600.0,0,0,0,0,36
650.0,0,0,0,0,34
700.0,0,0,0,0,32
