z_um,cfw_geom5_exp_1_um,cfw_geom5_exp_2_um,cfw_geom5_exp_4_um,cfw_geom5_exp_8_um,cfw_geom5_exp_16_um,cfw_geom10_exp_1_um,cfw_geom10_exp_2_um,cfw_geom10_exp_4_um,cfw_geom10_exp_8_um,cfw_geom10_exp_16_um,cfw_geom16_exp_1_um,cfw_geom16_exp_2_um,cfw_geom16_exp_4_um,cfw_geom16_exp_8_um,cfw_geom16_exp_16_um,cfw_geom20_exp_1_um,cfw_geom20_exp_2_um,cfw_geom20_exp_4_um,cfw_geom20_exp_8_um,cfw_geom20_exp_16_um,cfw_geom24_exp_1_um,cfw_geom24_exp_2_um,cfw_geom24_exp_4_um,cfw_geom24_exp_8_um,cfw_geom24_exp_16_um,cfw_geom28_exp_1_um,cfw_geom28_exp_2_um,cfw_geom28_exp_4_um,cfw_geom28_exp_8_um,cfw_geom28_exp_16_um,cfw_geom32_exp_1_um,cfw_geom32_exp_2_um,cfw_geom32_exp_4_um,cfw_geom32_exp_8_um,cfw_geom32_exp_16_um,cfw_geom36_exp_1_um,cfw_geom36_exp_2_um,cfw_geom36_exp_4_um,cfw_geom36_exp_8_um,cfw_geom36_exp_16_um,cfw_geom40_exp_1_um,cfw_geom40_exp_2_um,cfw_geom40_exp_4_um,cfw_geom40_exp_8_um,cfw_geom40_exp_16_um
-700.0,0,0,0,32,26,0,0,0,27,28,0,0,0,28,27,0,0,0,28,27,0,0,0,28,27,0,0,0,28,27,0,0,0,28,27,0,0,0,28,27,0,0,0,28,27
-690.0,0,0,0,32,26,0,0,0,27,28,0,0,0,28,27,0,0,0,28,27,0,0,0,28,27,0,0,0,28,27,0,0,0,28,27,0,0,0,28,27,0,0,0,28,27
-680.0,0,0,0,32,26,0,0,0,27,27,0,0,0,28,27,0,0,0,28,27,0,0,0,28,27,0,0,0,28,27,0,0,0,28,27,0,0,0,27,27,0,0,0,27,27
-670.0,0,0,1,31,27,0,0,0,26,27,0,0,0,27,26,0,0,0,27,27,0,0,0,28,26,0,0,0,28,26,0,0,0,27,27,0,0,0,27,26,0,0,0,27,26
-660.0,0,0,2,30,27,0,0,0,25,26,0,0,0,26,26,0,0,0,27,27,0,0,0,27,26,0,0,0,26,26,0,0,0,26,26,0,0,0,26,26,0,0,0,27,26
-650.0,0,0,5,29,27,0,0,2,25,26,0,0,2,26,26,0,0,2,26,26,0,0,1,26,26,0,0,1,26,26,0,0,0,26,26,0,0,0,26,26,0,0,0,26,26
-640.0,0,0,7,28,27,0,0,5,25,26,0,0,3,26,26,0,0,3,26,26,0,0,4,26,26,0,0,4,26,26,0,0,4,26,26,0,0,4,26,26,0,0,4,26,26
-630.0,0,0,8,28,27,0,0,6,25,26,0,0,7,26,26,0,0,7,26,25,0,0,6,26,26,0,0,6,26,26,0,0,6,26,26,0,0,5,26,26,0,0,6,26,26
-620.0,0,0,14,27,27,0,0,8,25,25,0,0,8,25,25,0,0,8,25,25,0,0,9,26,26,0,0,9,26,25,0,0,8,26,25,0,0,8,26,25,0,0,8,26,25
-610.0,0,0,14,27,26,0,0,9,25,25,0,0,9,25,25,0,0,9,25,25,0,0,9,25,25,0,0,10,25,25,0,0,10,25,25,0,0,9,25,25,0,0,9,25,25
-600.0,0,0,14,26,26,0,0,9,26,25,0,0,12,25,25,0,0,11,25,25,0,0,11,25,25,0,0,11,26,25,0,0,11,25,25,0,0,11,25,25,0,0,11,26,25
-590.0,0,0,14,26,26,0,0,11,26,25,0,0,12,26,25,0,0,12,25,25,0,0,12,26,25,0,0,12,26,25,0,0,12,26,25,0,0,12,26,25,0,0,12,26,25
-580.0,0,0,15,25,26,0,0,11,26,25,0,0,12,26,25,0,0,12,26,25,0,0,13,26,25,0,0,13,26,25,0,0,13,26,25,0,0,13,26,25,0,0,13,26,25
-570.0,0,0,15,25,26,0,0,14,26,25,0,0,14,26,25,0,0,14,26,25,0,0,14,26,25,0,0,14,26,25,0,0,14,26,25,0,0,14,26,25,0,0,14,26,25
-560.0,0,0,15,24,26,0,0,14,26,25,0,0,15,25,25,0,0,15,25,25,0,0,15,26,25,0,0,14,26,25,0,0,14,25,25,0,0,14,25,25,0,0,15,25,25
-550.0,0,0,16,24,25,0,0,16,26,24,0,0,15,25,25,0,0,15,25,25,0,0,15,25,25,0,0,15,25,25,0,0,15,25,25,0,0,15,25,25,0,0,15,25,25
-540.0,0,0,16,24,25,0,0,18,26,24,0,0,15,25,25,0,0,17,25,25,0,0,17,25,25,0,0,16,25,24,0,0,16,25,24,0,0,16,25,24,0,0,16,25,24
-530.0,0,0,16,24,25,0,0,18,25,24,0,0,17,26,24,0,0,17,26,24,0,0,17,25,24,0,0,17,25,24,0,0,17,25,24,0,0,17,25,24,0,0,16,25,24
-520.0,0,0,17,24,25,0,0,18,25,24,0,0,17,26,24,0,0,17,26,24,0,0,17,26,24,0,0,17,26,24,0,0,17,26,24,0,0,17,26,24,0,0,17,26,24
-510.0,0,0,16,24,25,0,0,18,25,24,0,0,17,25,24,0,0,17,25,24,0,0,17,25,24,0,0,17,25,24,0,0,17,25,24,0,0,17,25,24,0,0,17,26,24
-500.0,0,0,16,24,25,0,0,19,26,24,0,0,18,25,24,0,0,17,25,24,0,0,17,25,24,0,0,17,25,24,0,0,17,25,24,0,0,18,25,24,0,0,18,25,24
-490.0,0,0,16,23,24,0,0,18,25,24,0,0,18,25,24,0,0,19,25,24,0,0,19,25,24,0,0,19,25,24,0,0,18,25,24,0,0,18,25,24,0,0,18,25,24
-480.0,0,0,18,23,24,0,0,18,25,23,0,0,19,25,24,0,0,19,25,23,0,0,19,25,23,0,0,19,25,23,0,0,19,25,23,0,0,19,25,23,0,0,19,25,24
-470.0,0,0,18,23,24,0,0,18,25,23,0,0,19,25,23,0,0,19,25,23,0,0,19,25,23,0,0,19,25,23,0,0,19,25,23,0,0,19,25,23,0,0,19,25,23
-460.0,0,0,19,23,24,0,0,19,24,24,0,0,20,25,23,0,0,20,25,23,0,0,20,25,23,0,0,20,25,23,0,0,20,25,23,0,0,20,25,23,0,0,20,25,23
-450.0,0,0,19,23,23,0,0,20,24,24,0,0,20,24,24,0,0,20,25,24,0,0,20,24,24,0,0,20,24,24,0,0,20,24,24,0,0,20,25,24,0,0,20,24,24
-440.0,0,0,19,24,23,0,0,20,25,24,0,0,20,25,23,0,0,20,24,23,0,0,20,25,23,0,0,20,24,23,0,0,20,24,23,0,0,20,24,23,0,0,20,25,23
-430.0,0,0,20,24,22,0,0,21,25,23,0,0,21,25,23,0,0,21,25,23,0,0,21,25,23,0,0,21,25,23,0,0,21,25,23,0,0,21,25,23,0,0,21,25,23
-420.0,0,0,20,23,22,0,0,21,25,23,0,0,21,25,23,0,0,21,25,23,0,0,21,25,23,0,0,21,25,23,0,0,21,25,23,0,0,21,25,23,0,0,21,25,23
-410.0,0,0,22,23,21,0,0,22,25,23,0,0,21,25,22,0,0,21,24,22,0,0,21,24,22,0,0,21,24,22,0,0,21,25,22,0,0,21,24,22,0,0,21,24,22
-400.0,0,0,22,24,21,0,0,22,25,22,0,0,21,24,23,0,0,21,25,23,0,0,21,25,22,0,0,21,25,22,0,0,21,25,22,0,0,21,25,22,0,0,21,24,22
-390.0,0,0,22,24,21,0,0,23,25,23,0,0,22,25,23,0,0,22,25,23,0,0,22,25,23,0,0,22,25,23,0,0,22,25,23,0,0,22,25,23,0,0,22,25,23
-380.0,0,0,23,24,20,0,0,22,24,22,0,0,22,24,22,0,0,22,24,22,0,0,22,24,22,0,0,22,25,22,0,0,22,25,22,0,0,22,24,22,0,0,22,24,22
-370.0,0,0,24,25,20,0,0,22,24,22,0,0,22,24,22,0,0,22,24,22,0,0,22,24,22,0,0,22,24,22,0,0,22,24,22,0,0,22,24,22,0,0,22,24,22
-360.0,0,0,25,24,21,0,0,23,25,21,0,0,23,25,21,0,0,23,25,21,0,0,23,24,21,0,0,23,24,22,0,0,23,25,21,0,0,23,25,21,0,0,23,25,21
-350.0,0,0,26,25,21,0,0,23,24,22,0,0,23,25,22,0,0,23,24,22,0,0,23,24,22,0,0,23,24,22,0,0,23,24,22,0,0,23,24,22,0,0,23,24,22
-340.0,0,0,25,24,20,0,0,23,24,21,0,0,22,24,21,0,0,22,24,21,0,0,23,24,21,0,0,23,24,21,0,0,24,24,21,0,0,23,24,21,0,0,23,24,21
-330.0,0,0,26,23,20,0,0,23,23,22,0,0,23,23,21,0,0,23,24,21,0,0,23,24,21,0,0,23,23,21,0,0,23,24,21,0,0,23,23,21,0,0,23,24,21
